[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2020-04-17 11:49:52.568340 I | etcdmain: etcd Version: 3.4.3
2020-04-17 11:50:12.680877 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-public\" " with result "range_response_count:1 size:264" took too long (1.139149712s) to execute
2020-04-17 11:50:12.681374 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode2.1606990c8edee889\" " with result "range_response_count:1 size:646" took too long (1.142356238s) to execute
2020-04-17 11:50:12.681593 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings/system:discovery\" " with result "range_response_count:1 size:732" took too long (1.153243609s) to execute
2020-04-17 11:50:12.682093 W | etcdserver: read-only range request "key:\"/registry/ranges/serviceips\" " with result "range_response_count:1 size:121410" took too long (1.154166982s) to execute
2020-04-17 11:50:12.682612 W | etcdserver: read-only range request "key:\"/registry/pods/default/client-deployment-ffcfc744b-7kdhr\" " with result "range_response_count:1 size:2945" took too long (1.155182841s) to execute
2020-04-17 11:50:13.785622 W | wal: sync duration of 1.075107936s, expected less than 1s
2020-04-17 11:50:14.440802 W | etcdserver: request "header:<ID:10931205549377338869 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/workernode2.1606990c8edee889\" mod_revision:205169 > success:<request_put:<key:\"/registry/events/default/workernode2.1606990c8edee889\" value_size:557 lease:1707833512522563007 >> failure:<request_range:<key:\"/registry/events/default/workernode2.1606990c8edee889\" > >>" with result "size:18" took too long (1.696998255s) to execute
2020-04-17 11:50:14.443564 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (1.702680126s) to execute
2020-04-17 11:50:14.444078 W | etcdserver: read-only range request "key:\"/registry/clusterroles/cluster-admin\" " with result "range_response_count:1 size:554" took too long (1.703064181s) to execute
2020-04-17 11:50:14.448061 W | etcdserver: read-only range request "key:\"/registry/ranges/serviceips\" " with result "range_response_count:1 size:121410" took too long (1.707103868s) to execute
2020-04-17 11:50:14.448473 W | etcdserver: read-only range request "key:\"/registry/leases/kube-node-lease/workernode2\" " with result "range_response_count:1 size:615" took too long (1.680281053s) to execute
2020-04-17 11:50:14.448783 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:264" took too long (1.706878344s) to execute
2020-04-17 11:50:14.449245 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-scheduler-masternode\" " with result "range_response_count:1 size:3823" took too long (1.708069464s) to execute
2020-04-17 11:50:14.449542 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:362" took too long (1.708592349s) to execute
2020-04-17 11:50:14.451684 W | etcdserver: read-only range request "key:\"/registry/pods/default/client-deployment-ffcfc744b-7kdhr\" " with result "range_response_count:1 size:2945" took too long (1.7107511s) to execute
2020-04-17 11:50:14.460119 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:513" took too long (1.29299025s) to execute
2020-04-17 11:50:16.130688 W | wal: sync duration of 1.658081658s, expected less than 1s
2020-04-17 11:50:16.429529 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-public\" " with result "range_response_count:1 size:264" took too long (1.955904736s) to execute
2020-04-17 11:50:16.432075 W | etcdserver: request "header:<ID:10931205549377338878 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/kube-system/kube-scheduler-masternode\" mod_revision:205008 > success:<request_put:<key:\"/registry/pods/kube-system/kube-scheduler-masternode\" value_size:4021 >> failure:<request_range:<key:\"/registry/pods/kube-system/kube-scheduler-masternode\" > >>" with result "size:18" took too long (300.989563ms) to execute
2020-04-17 11:50:16.536129 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "error:context canceled" took too long (2.000350891s) to execute
WARNING: 2020/04/17 11:50:16 grpc: Server.processUnaryRPC failed to write status: connection error: desc = "transport is closing"
2020-04-17 11:50:17.091397 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (1.080012942s) to execute
2020-04-17 11:50:17.092291 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:discovery\" " with result "range_response_count:1 size:648" took too long (2.608956333s) to execute
2020-04-17 11:50:17.092693 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/weave-net-5c6l4\" " with result "range_response_count:1 size:7053" took too long (1.642778259s) to execute
2020-04-17 11:50:17.093280 W | etcdserver: read-only range request "key:\"/registry/events/default/masternode.1606990eec2ce56d\" " with result "range_response_count:1 size:636" took too long (2.608086521s) to execute
2020-04-17 11:50:17.093930 W | etcdserver: read-only range request "key:\"/registry/pods/default/client-deployment-ffcfc744b-7kdhr\" " with result "range_response_count:1 size:2945" took too long (2.608726438s) to execute
2020-04-17 11:50:17.094631 W | etcdserver: read-only range request "key:\"/registry/services/specs/\" range_end:\"/registry/services/specs0\" " with result "range_response_count:6 size:6009" took too long (2.611317851s) to execute
2020-04-17 11:50:17.095548 W | etcdserver: read-only range request "key:\"/registry/services/specs/\" range_end:\"/registry/services/specs0\" " with result "range_response_count:6 size:6009" took too long (2.611221436s) to execute
2020-04-17 11:50:17.097010 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode1.1606990b3a4617f1\" " with result "range_response_count:1 size:640" took too long (2.623246473s) to execute
2020-04-17 11:50:17.099361 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode2.1606990c8edf077d\" " with result "range_response_count:1 size:642" took too long (2.625707845s) to execute
2020-04-17 11:50:17.123321 W | etcdserver: request "header:<ID:10931205549377338882 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/leases/kube-node-lease/workernode2\" mod_revision:205192 > success:<request_put:<key:\"/registry/leases/kube-node-lease/workernode2\" value_size:545 >> failure:<request_range:<key:\"/registry/leases/kube-node-lease/workernode2\" > >>" with result "size:18" took too long (332.286115ms) to execute
2020-04-17 11:50:17.127586 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (487.105272ms) to execute
2020-04-17 11:50:17.128891 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-proxy-sh7s9\" " with result "range_response_count:1 size:4827" took too long (686.585774ms) to execute
2020-04-17 11:50:17.129330 W | etcdserver: read-only range request "key:\"/registry/minions/workernode1\" " with result "range_response_count:1 size:5380" took too long (692.700174ms) to execute
2020-04-17 11:50:17.130377 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-node-lease\" " with result "range_response_count:1 size:272" took too long (697.655848ms) to execute
2020-04-17 11:50:17.131503 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:581" took too long (905.385323ms) to execute
2020-04-17 11:50:17.932812 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:basic-user\" " with result "range_response_count:1 size:626" took too long (822.370236ms) to execute
2020-04-17 11:50:17.932955 W | etcdserver: request "header:<ID:10931205549377338886 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/kube-system/weave-net-5c6l4\" mod_revision:205084 > success:<request_put:<key:\"/registry/pods/kube-system/weave-net-5c6l4\" value_size:6982 >> failure:<request_range:<key:\"/registry/pods/kube-system/weave-net-5c6l4\" > >>" with result "size:18" took too long (315.100205ms) to execute
2020-04-17 11:50:19.298389 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (2.063785843s) to execute
2020-04-17 11:50:19.299519 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:362" took too long (2.129819963s) to execute
2020-04-17 11:50:19.300288 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:488" took too long (2.131215851s) to execute
2020-04-17 11:50:19.300931 W | etcdserver: read-only range request "key:\"/registry/pods/default/client-deployment-ffcfc744b-7kdhr\" " with result "range_response_count:0 size:6" took too long (2.121338166s) to execute
2020-04-17 11:50:19.301593 W | etcdserver: read-only range request "key:\"/registry/minions/workernode1\" " with result "range_response_count:1 size:5380" took too long (2.133950075s) to execute
2020-04-17 11:50:19.302308 W | etcdserver: read-only range request "key:\"/registry/ranges/serviceips\" " with result "range_response_count:1 size:121410" took too long (2.128703819s) to execute
2020-04-17 11:50:19.306918 W | etcdserver: request "header:<ID:10931205549377338892 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/workernode2.1606990c9753d67e\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/workernode2.1606990c9753d67e\" value_size:544 lease:1707833512522563007 >> failure:<>>" with result "size:18" took too long (723.667492ms) to execute
2020-04-17 11:50:19.311636 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:608" took too long (1.527525928s) to execute
2020-04-17 11:50:19.321974 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/coredns-66bff467f8-zcp44\" " with result "range_response_count:1 size:4787" took too long (1.354306318s) to execute
2020-04-17 11:50:19.322348 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode1.1606990b3a4617f1\" " with result "range_response_count:1 size:640" took too long (1.356162224s) to execute
2020-04-17 11:50:19.340339 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-proxy-pv9q5\" " with result "range_response_count:1 size:4661" took too long (1.375092059s) to execute
2020-04-17 11:50:19.342444 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:public-info-viewer\" " with result "range_response_count:1 size:614" took too long (1.377213042s) to execute
2020-04-17 11:50:21.040987 W | wal: sync duration of 1.644814017s, expected less than 1s
2020-04-17 11:50:21.048119 W | etcdserver: read-only range request "key:\"/registry/events/default/masternode.1606990eec2ce56d\" " with result "range_response_count:1 size:636" took too long (1.63790244s) to execute
2020-04-17 11:50:21.436841 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "error:context deadline exceeded" took too long (2.001552146s) to execute
2020-04-17 11:50:21.607177 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-proxy-drk5h\" " with result "range_response_count:1 size:4865" took too long (1.212979867s) to execute
2020-04-17 11:50:21.607766 W | etcdserver: read-only range request "key:\"/registry/clusterroles/view\" " with result "range_response_count:1 size:2043" took too long (2.197697474s) to execute
2020-04-17 11:50:21.608106 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/weave-net-vgv8h\" " with result "range_response_count:1 size:6986" took too long (2.198073854s) to execute
2020-04-17 11:50:21.608335 W | etcdserver: read-only range request "key:\"/registry/csinodes/workernode1\" " with result "range_response_count:1 size:464" took too long (2.198411991s) to execute
2020-04-17 11:50:21.608567 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode2.1606990c8edf157e\" " with result "range_response_count:1 size:640" took too long (2.198812289s) to execute
2020-04-17 11:50:21.673716 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode1.1606990b3a45bedb\" " with result "range_response_count:1 size:646" took too long (622.76853ms) to execute
2020-04-17 11:50:21.682465 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (147.241251ms) to execute
2020-04-17 11:50:22.505312 W | etcdserver: request "header:<ID:10931205549377338914 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/workernode2.1606990c8edf157e\" mod_revision:205180 > success:<request_put:<key:\"/registry/events/default/workernode2.1606990c8edf157e\" value_size:551 lease:1707833512522563007 >> failure:<request_range:<key:\"/registry/events/default/workernode2.1606990c8edf157e\" > >>" with result "size:18" took too long (515.302928ms) to execute
2020-04-17 11:50:22.506602 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:aggregate-to-edit\" " with result "range_response_count:1 size:1869" took too long (800.465994ms) to execute
2020-04-17 11:50:23.282960 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:608" took too long (329.931441ms) to execute
2020-04-17 11:50:23.283153 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:aggregate-to-view\" " with result "range_response_count:1 size:1877" took too long (766.39092ms) to execute
2020-04-17 11:50:23.283718 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-proxy-pv9q5\" " with result "range_response_count:1 size:4833" took too long (1.470812973s) to execute
2020-04-17 11:50:23.284092 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (1.548415199s) to execute
2020-04-17 11:50:23.284406 W | etcdserver: read-only range request "key:\"/registry/pods/kubernetes-dashboard/dashboard-metrics-scraper-dc6947fbf-9lk4b\" " with result "range_response_count:1 size:4060" took too long (757.812611ms) to execute
2020-04-17 11:50:23.284944 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode2.1606990c8edee889\" " with result "range_response_count:1 size:646" took too long (767.868942ms) to execute
2020-04-17 11:50:23.285645 W | etcdserver: read-only range request "key:\"/registry/events/default/masternode.1606990eec2cc06b\" " with result "range_response_count:1 size:640" took too long (1.57796359s) to execute
2020-04-17 11:50:23.296560 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode1.1606990b3a45f7c6\" " with result "range_response_count:1 size:642" took too long (779.50739ms) to execute
2020-04-17 11:50:23.403676 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:heapster\" " with result "range_response_count:1 size:639" took too long (110.720063ms) to execute
2020-04-17 11:50:23.815402 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:581" took too long (420.066641ms) to execute
2020-04-17 11:50:23.815728 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (480.5568ms) to execute
2020-04-17 11:50:23.815957 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:513" took too long (517.518765ms) to execute
2020-04-17 11:50:23.816365 W | etcdserver: read-only range request "key:\"/registry/events/default/masternode.1606990eec2cf33f\" " with result "range_response_count:1 size:634" took too long (398.914587ms) to execute
2020-04-17 11:50:23.817169 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode2.1606990c8edf077d\" " with result "range_response_count:1 size:642" took too long (399.687592ms) to execute
2020-04-17 11:50:23.818104 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:node\" " with result "range_response_count:1 size:1487" took too long (393.73937ms) to execute
2020-04-17 11:50:24.333293 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:node-bootstrapper\" " with result "range_response_count:1 size:634" took too long (468.095393ms) to execute
2020-04-17 11:50:24.347252 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (411.895208ms) to execute
2020-04-17 11:50:24.350259 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode1.1606990b3a45bedb\" " with result "range_response_count:1 size:646" took too long (470.894029ms) to execute
2020-04-17 11:50:24.522196 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:persistent-volume-provisioner\" " with result "range_response_count:1 size:813" took too long (142.563258ms) to execute
2020-04-17 11:50:24.523701 W | etcdserver: read-only range request "key:\"/registry/events/default/masternode.1606990eec2cf33f\" " with result "range_response_count:1 size:634" took too long (139.465786ms) to execute
2020-04-17 11:50:24.524925 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode1.1606990b3a4617f1\" " with result "range_response_count:1 size:640" took too long (128.786074ms) to execute
2020-04-17 11:50:25.393138 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:certificates.k8s.io:certificatesigningrequests:selfnodeclient\" " with result "range_response_count:1 size:719" took too long (857.645628ms) to execute
2020-04-17 11:50:25.400021 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (764.238063ms) to execute
2020-04-17 11:50:25.412486 W | etcdserver: read-only range request "key:\"/registry/events/default/masternode.1606990eec2ce56d\" " with result "range_response_count:1 size:636" took too long (866.795432ms) to execute
2020-04-17 11:50:25.412659 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode2.1606990c8edf157e\" " with result "range_response_count:1 size:640" took too long (871.467466ms) to execute
2020-04-17 11:50:25.636323 W | etcdserver: read-only range request "key:\"/registry/events/default/masternode.1606990eec2cc06b\" " with result "range_response_count:1 size:640" took too long (134.748743ms) to execute
2020-04-17 11:50:25.636960 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:certificates.k8s.io:kube-apiserver-client-approver\" " with result "range_response_count:1 size:701" took too long (120.653295ms) to execute
2020-04-17 11:50:25.637659 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (102.270671ms) to execute
2020-04-17 11:50:25.638490 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode1.1606990b3a45f7c6\" " with result "range_response_count:1 size:642" took too long (121.415353ms) to execute
2020-04-17 11:50:26.020271 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:controller:attachdetach-controller\" " with result "range_response_count:1 size:951" took too long (312.960526ms) to execute
2020-04-17 11:50:26.024256 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode2.1606990c8edf077d\" " with result "range_response_count:1 size:642" took too long (314.387304ms) to execute
2020-04-17 11:50:26.024514 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (288.862414ms) to execute
2020-04-17 11:50:26.198430 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:controller:daemon-set-controller\" " with result "range_response_count:1 size:959" took too long (152.359585ms) to execute
2020-04-17 11:50:26.204017 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode2.1606990c8edee889\" " with result "range_response_count:1 size:646" took too long (144.431482ms) to execute
2020-04-17 11:50:26.204877 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (119.509294ms) to execute
